week,date,match,player,minute,extra_minute,scorer_team
33,2019-04-05,SOULIV,Keïta,36,,LIV
33,2019-04-05,SOULIV,Salah,80,,LIV
33,2019-04-05,SOULIV,Henderson,86,,LIV
33,2019-04-05,SOULIV,Long,9,,SOU
33,2019-04-06,BOUBUR,Wood,18,,BUR
33,2019-04-06,BOUBUR,Westwood,20,,BUR
33,2019-04-06,HUDLEI,Tielemans,24,,LEI
33,2019-04-06,BOUBUR,Barnes,4,,BOU
33,2019-04-06,HUDLEI,Vardy,48,,LEI
33,2019-04-06,HUDLEI,Mooy,52,,HUD
33,2019-04-06,BOUBUR,Barnes,56,,BUR
33,2019-04-06,HUDLEI,Maddison,79,,LEI
33,2019-04-06,NEWCRY,Milivojević,81,,CRY
33,2019-04-06,HUDLEI,Vardy,84,,LEI
33,2019-04-07,EVEARS,Jagielka,10,,EVE
33,2019-04-08,CHEWHU,Hazard,24,,CHE
33,2019-04-08,CHEWHU,Hazard,90,,CHE
